"_id","lat","lon","cat"
"4adcda9af964a5200d4c21e3",50.081103596300004,14.428567886400002,"Travel & Transport"
"4adcda9af964a5200f4c21e3",50.08261199020001,14.424861831800001,"Travel & Transport"
"4adcda9af964a520104c21e3",50.1093501697,14.393591880799999,"Travel & Transport"
"4adcda9af964a520144c21e3",50.0707654,14.4362076,"Travel & Transport"
"4adcda9af964a520164c21e3",50.0740143715,14.430244180899999,"Travel & Transport"
"4adcda9af964a520174c21e3",50.0882956534,14.4313177543,"Travel & Transport"
"4adcda9af964a520184c21e3",50.102992013599994,14.3776702881,"Travel & Transport"
"4adcda9af964a5201b4c21e3",50.085371933999994,14.380288124100002,"Travel & Transport"
"4adcda9af964a5201e4c21e3",50.0933078679,14.4396018531,"Travel & Transport"
"4adcda9af964a5201f4c21e3",50.0880612221,14.427602499999999,"Travel & Transport"
"4adcda9af964a520204c21e3",50.043523665900004,14.439410497599999,"Travel & Transport"
"4adcda9af964a520214c21e3",50.0762297474,14.4941046559,"Travel & Transport"
"4adcda9af964a520224c21e3",50.071277477799995,14.3969126649,"Travel & Transport"
"4adcda9af964a520234c21e3",50.090945700000006,14.4247736,"Travel & Transport"
"4adcda9af964a520244c21e3",50.064263000000004,14.506689900000001,"Travel & Transport"
"4adcda9af964a520264c21e3",50.084362,14.406179000000002,"Nightlife Spot"
"4adcda9af964a520284c21e3",50.081912088,14.4267064128,"Travel & Transport"
"4adcda9af964a520294c21e3",50.089868923100006,14.4356029954,"Travel & Transport"
"4adcda9af964a5202a4c21e3",50.126656730200004,14.4857328138,"Travel & Transport"
"4adcda9af964a5202b4c21e3",50.0941599701,14.3414490542,"Travel & Transport"
"4adcda9af964a520314c21e3",50.099264399999996,14.430373800000002,"Travel & Transport"
"4adcda9af964a520324c21e3",50.093584371700004,14.429355060699999,"Travel & Transport"
"4adcda9af964a520344c21e3",50.0799456849,14.4996728824,"Travel & Transport"
"4adcda9af964a520354c21e3",50.094674036899995,14.4541907926,"Travel & Transport"
"4adcda9af964a520364c21e3",50.09287929999999,14.4087762667,"Travel & Transport"
